priority_rank,ebird_species_code,scientific_name,japanese_name,frequency_annual_mean,total_recordings
444,piewhe1,Oenanthe pleschanka,セグロサバクヒタキ,4.926041666666667e-05,140
445,leater1,Sternula antillarum,アメリカコアジサシ,4.747708333333333e-05,191
446,litgul,Hydrocoloeus minutus,ヒメカモメ,4.666041666666666e-05,162
447,redava,Amandava amandava,ベニスズメ,4.320833333333333e-05,802
448,wtrthr1,Monticola gularis,ヒメイソヒヨ,4.30375e-05,66
449,misthr1,Turdus viscivorus,ヤドリギツグミ,4.217916666666667e-05,2622
450,indcuc1,Cuculus micropterus,セグロカッコウ,4.195208333333333e-05,397
451,blkter,Chlidonias niger,ハシグロクロハラアジサシ,4.188125e-05,383
452,truswa,Cygnus buccinator,ナキハクチョウ,3.923125e-05,412
453,eupfly1,Ficedula hypoleuca,マダラヒタキ,3.798125e-05,2427
454,rbbmag,Urocissa erythroryncha,サンジャク,3.673125e-05,238
455,rebshr1,Lanius collurio,セアカモズ,3.635833333333333e-05,1107
456,bnhgul1,Chroicocephalus brunnicephalus,チャガシラカモメ,3.572916666666666e-05,68
457,bearee1,Panurus biarmicus,ヒゲガラ,3.4860416666666666e-05,568
458,blckin1,Halcyon pileata,ヤマショウビン,3.473958333333333e-05,98
459,slbgul1,Chroicocephalus genei,ハシボソカモメ,3.3904166666666666e-05,215
460,cangoo,Branta canadensis,カナダガン,3.374166666666667e-05,3989
461,chilew1,Phylloscopus yunnanensis,シセンムシクイ,3.125e-05,122
462,sedwar1,Acrocephalus schoenobaenus,スゲヨシキリ,3.125e-05,3099
463,ettwoo1,Picoides tridactylus,ミユビゲラ,3.125e-05,477
464,manrew1,Acrocephalus tangorum,マンシュウイナダヨシキリ,3.125e-05,125
465,eueowl1,Bubo bubo,ワシミミズク,3.125e-05,9958
466,trimun,Lonchura malacca,ギンパラ,3.125e-05,162
467,norhar2,Circus hudsonius,アメリカハイイロチュウヒ,3.125e-05,754
468,verfly4,Eumyias thalassinus,ロクショウヒタキ,2.7350000000000004e-05,105
469,datthr1,Turdus atrogularis,ノドグロツグミ,2.4479166666666668e-05,141
470,whcspa,Zonotrichia leucophrys,ミヤマシトド,2.063541666666667e-05,2307
471,stisan,Calidris himantopus,アシナガシギ,1.9322916666666668e-05,195
472,sabgul,Xema sabini,クビワカモメ,1.81625e-05,74
473,whvmyn,Acridotheres javanicus,ジャワハッカ,1.674375e-05,292
474,spofly1,Muscicapa striata,ムナフヒタキ,1.55125e-05,2454
475,rossta2,Pastor roseus,バライロムクドリ,1.4816666666666663e-05,125
476,eaywag1,Motacilla flava,ニシツメナガセキレイ,1.4447916666666666e-05,3072
477,meapip1,Anthus pratensis,マキバタヒバリ,1.4108333333333332e-05,1883
478,semplo,Charadrius semipalmatus,ミズカキチドリ,1.2772916666666666e-05,221
479,arcter,Sterna paradisaea,キョクアジサシ,1.2666666666666668e-05,493
480,chwcuc1,Clamator coromandus,カンムリカッコウ,9.641666666666666e-06,111
