recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:142731,barswa,6,59,38.266,0.649,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_142731_comparison.png
xc:142731,barswa,8,171,24.451,0.143,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_142731_comparison.png
xc:142731,barswa,12,26,1.788,0.069,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_142731_comparison.png
xc:142731,barswa,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_142731_comparison.png
ml:620881189,bkfbun2,1,18,5.393,0.3,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,2,37,7.088,0.192,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,3,37,31.176,0.843,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,6,14,7.93,0.566,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,8,50,14.373,0.287,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,12,7,7.645,1.092,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,14,7,1.695,0.242,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_620881189_comparison.png
ml:618704340,bkfbun2,1,73,15.348,0.21,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,2,80,14.878,0.186,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,3,38,27.353,0.72,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,6,61,18.779,0.308,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,8,56,18.727,0.334,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,12,38,4.458,0.117,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,14,45,11.355,0.252,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_618704340_comparison.png
ml:634320120,bkfbun2,1,44,5.952,0.135,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,2,89,16.917,0.19,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,3,45,32.304,0.718,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,6,69,10.395,0.151,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,8,53,18.613,0.351,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,12,6,0.341,0.057,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_634320120_comparison.png
ml:637612944,bkfbun2,1,21,1.424,0.068,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,2,75,9.445,0.126,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,3,18,20.696,1.15,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,6,31,2.704,0.087,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,8,54,13.189,0.244,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,12,2,0.08,0.04,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_637612944_comparison.png
ml:624172439,bkfbun2,1,1,0.517,0.517,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,2,99,5.509,0.056,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,3,40,39.346,0.984,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,6,5,0.139,0.028,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,8,95,15.673,0.165,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,12,12,1.144,0.095,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkfbun2/ml_624172439_comparison.png
xc:580794,bkhgul,1,154,59.008,0.383,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,2,269,39.735,0.148,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_580794_comparison.png
