species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
eurwig,xc:796535,10,6,0.258,0.21,1.55,7.0
eurwig,xc:695704,73,45,0.416,0.14,18.73,59.73
eurwig,xc:484471,14,3,3.647,3.03,10.94,11.78
eurwig,xc:702703,13,7,0.699,0.26,4.89,12.23
eutspa,xc:381814,57,25,0.552,0.42,13.8,31.68
eutspa,xc:936174,232,44,1.51,0.365,66.46,88.4
eutspa,xc:185713,164,32,1.676,0.76,53.62,70.07
eutspa,xc:164536,175,49,1.225,0.75,60.01,95.02
eutspa,xc:341173,44,14,1.362,1.145,19.07,27.09
eutspa,xc:636987,35,12,1.267,0.775,15.2,23.07
eutspa,xc:168210,40,16,2.738,2.91,43.8,47.43
eutspa,xc:656912,72,24,1.03,0.49,24.73,45.27
eutspa,xc:539149,15,8,0.465,0.245,3.72,9.94
eutspa,xc:497883,8,24,6.719,8.0,161.26,161.78
eutspa,xc:629244,71,20,2.476,1.955,49.51,61.42
eutspa,xc:435311,38,17,0.606,0.16,10.31,20.12
eutspa,xc:126967,4,19,6.832,8.0,129.8,130.07
eutspa,xc:870762,9,3,4.363,3.6,13.09,13.91
eutspa,xc:147804,22,5,2.082,1.04,10.41,13.37
eutspa,xc:358624,69,16,3.474,2.875,55.59,59.98
eutspa,xc:155563,379,68,3.18,2.94,216.25,250.49
eutspa,xc:112694,27,4,4.308,3.845,17.23,19.02
eutspa,xc:167533,125,30,1.78,0.865,53.4,70.93
eutspa,xc:770219,24,21,0.208,0.09,4.37,27.16
gadwal,xc:651967,120,18,4.049,3.555,72.88,79.01
gadwal,xc:548049,22,7,2.893,2.52,20.25,21.53
gadwal,xc:963992,18,3,4.667,4.53,14.0,14.73
gadwal,xc:284792,10,2,3.87,3.87,7.74,9.2
gadwal,xc:1021736,6,4,0.8,0.295,3.2,6.88
gadwal,xc:210379,5,1,5.55,5.55,5.55,5.95
gadwal,xc:779907,4,1,2.53,2.53,2.53,2.57
gadwal,xc:1021727,43,11,3.73,4.27,41.03,43.74
gadwal,xc:539308,46,17,2.158,1.16,36.68,47.43
gadwal,xc:595438,48,19,2.484,1.23,47.19,53.91
gadwal,xc:1048306,5,2,0.73,0.73,1.46,2.91
gadwal,xc:883856,16,7,2.761,1.84,19.33,20.41
gadwal,xc:526342,1,1,4.41,4.41,4.41,4.45
gadwal,xc:622760,77,47,0.307,0.16,14.45,88.25
gadwal,xc:424359,1,2,4.96,4.96,9.92,9.96
gadwal,xc:359036,6,2,4.06,4.06,8.12,8.28
gadwal,xc:1021731,1,3,5.793,8.0,17.38,17.42
gadwal,xc:707600,21,7,0.816,0.86,5.71,12.84
gadwal,xc:357526,139,23,2.97,3.01,68.3,77.39
gadwal,xc:1021729,76,20,1.687,1.155,33.74,45.05
gnwtea,xc:977018,1,1,2.98,2.98,2.98,3.02
gnwtea,xc:533237,108,36,1.048,0.535,37.73,63.9
gnwtea,xc:280945,42,7,4.04,4.28,28.28,30.28
gnwtea,xc:774518,1,2,5.475,5.475,10.95,10.99
gnwtea,xc:309109,30,5,3.926,2.95,19.63,20.46
gnwtea,xc:668181,6,1,2.79,2.79,2.79,3.76
gnwtea,xc:1068699,252,115,0.605,0.12,69.52,175.29
gnwtea,xc:625907,0,0,0.0,0.0,0.0,51.29
gnwtea,xc:1025891,21,6,0.95,0.585,5.7,9.42
gnwtea,xc:365480,89,40,0.725,0.18,29.01,58.39
gnwtea,xc:717727,6,4,0.57,0.645,2.28,12.21
gnwtea,xc:999210,1,3,7.627,8.0,22.88,22.92
gnwtea,xc:653711,21,17,0.459,0.15,7.8,54.78
gnwtea,xc:1009913,30,5,1.726,0.29,8.63,14.74
gnwtea,xc:871356,8,6,0.287,0.23,1.72,7.03
gnwtea,xc:641380,31,12,0.704,0.525,8.45,15.76
gnwtea,xc:838829,33,14,0.469,0.115,6.57,42.36
gnwtea,xc:787239,81,47,0.396,0.14,18.63,88.65
gnwtea,xc:35591,23,6,1.543,0.545,9.26,12.27
gnwtea,xc:694739,5,7,3.417,0.19,23.92,25.58
graher1,xc:941740,14,9,0.333,0.1,3.0,10.81
graher1,xc:1027522,2,2,0.17,0.17,0.34,6.38
graher1,xc:988147,1,2,4.275,4.275,8.55,8.59
graher1,xc:760232,10,7,0.44,0.53,3.08,13.84
graher1,xc:781315,31,12,0.863,0.37,10.36,19.34
graher1,xc:702251,14,5,0.662,0.3,3.31,9.11
graher1,xc:196217,46,22,0.69,0.185,15.17,42.3
graher1,xc:717824,3,3,0.57,0.56,1.71,8.17
graher1,xc:831392,43,41,0.34,0.27,13.92,175.38
graher1,xc:738682,39,15,1.234,1.01,18.51,37.38
graher1,xc:927615,9,6,0.507,0.35,3.04,13.66
graher1,xc:957951,52,6,3.907,4.365,23.44,26.27
graher1,xc:636469,34,9,4.712,4.89,42.41,43.95
graher1,xc:801934,47,12,1.983,1.245,23.8,29.98
graher1,xc:761218,2,2,0.44,0.44,0.88,11.53
graher1,xc:782720,21,3,3.14,1.55,9.42,10.18
graher1,xc:988150,1,2,7.215,7.215,14.43,14.47
graher1,xc:601001,14,10,0.803,0.63,8.03,18.24
graher1,xc:77956,3,2,0.43,0.43,0.86,2.79
graher1,xc:937807,19,11,0.505,0.31,5.56,14.42
grcgre1,xc:473226,7,5,1.158,1.4,5.79,10.59
grcgre1,xc:252268,17,4,4.38,4.42,17.52,18.0
