species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
labcro1,xc:890153,9,3,1.273,1.45,3.82,13.24
labcro1,xc:133745,221,68,1.137,0.49,77.3,177.74
labcro1,xc:344448,17,7,0.946,0.38,6.62,11.19
labcro1,xc:285993,46,5,4.02,5.23,20.1,23.05
labcro1,xc:915206,15,8,2.706,1.91,21.65,25.59
labcro1,xc:309572,38,12,1.348,1.13,16.18,28.95
labcro1,xc:212126,28,8,1.606,0.395,12.85,17.61
labcro1,xc:68019,83,28,1.615,0.88,45.22,70.83
litegr,xc:481452,7,2,1.91,1.91,3.82,5.29
litegr,xc:779145,22,8,1.14,0.415,9.12,20.6
litegr,xc:333966,73,26,1.077,0.31,28.0,40.68
litegr,xc:748297,27,17,0.436,0.21,7.41,24.1
litegr,xc:333874,43,11,1.542,0.67,16.96,24.59
litegr,xc:331548,427,129,1.729,0.86,223.07,302.89
litegr,xc:767199,40,22,0.776,0.27,17.08,49.32
litegr,xc:683079,11,1,4.85,4.85,4.85,5.34
litegr,xc:710201,22,9,3.471,3.26,31.24,36.13
litegr,xc:696314,1,2,7.925,7.925,15.85,17.11
litegr,xc:555825,13,6,0.928,0.46,5.57,10.25
litegr,xc:1041758,6,1,2.33,2.33,2.33,4.63
litegr,xc:795658,75,36,0.721,0.155,25.95,50.98
litegr,xc:365090,1,1,4.24,4.24,4.24,4.28
litegr,xc:956994,213,35,1.721,0.9,60.22,77.68
litegr,xc:774258,7,1,3.03,3.03,3.03,3.84
litegr,xc:642416,11,5,0.988,0.28,4.94,9.37
litegr,xc:1047895,14,5,1.03,0.95,5.15,10.33
litegr,xc:372947,17,4,4.562,4.595,18.25,18.76
litegr,xc:407045,5,4,0.335,0.355,1.34,11.56
litgre1,xc:804879,4,1,2.25,2.25,2.25,8.53
litgre1,xc:900716,4,4,0.048,0.045,0.19,13.46
litgre1,xc:380340,55,40,0.344,0.06,13.75,51.36
litgre1,xc:827756,3,2,1.04,1.04,2.08,5.15
litgre1,xc:923292,1,1,0.28,0.28,0.28,2.55
litgre1,xc:546375,5,5,0.056,0.05,0.28,8.97
litgre1,xc:634993,2,2,0.895,0.895,1.79,5.75
litgre1,xc:712583,39,20,0.853,0.145,17.07,77.51
litgre1,xc:314911,29,8,3.566,3.355,28.53,29.89
litgre1,xc:484292,16,8,1.17,1.355,9.36,25.45
litgre1,xc:723740,2,2,4.575,4.575,9.15,9.25
litgre1,xc:534650,2,1,3.62,3.62,3.62,3.66
litgre1,xc:36827,5,3,6.293,6.28,18.88,19.49
litgre1,xc:806226,14,4,2.93,2.51,11.72,12.94
litgre1,xc:606864,9,2,1.535,1.535,3.07,4.14
litgre1,xc:596755,3,1,4.61,4.61,4.61,4.67
litgre1,xc:687079,23,16,0.419,0.23,6.71,42.03
litgre1,xc:947545,9,3,3.503,2.42,10.51,10.82
litgre1,xc:1022129,5,2,4.875,4.875,9.75,9.91
litgre1,xc:483193,3,3,0.23,0.26,0.69,20.45
lottit1,xc:463643,47,16,2.543,2.345,40.69,47.01
lottit1,xc:354434,59,33,0.489,0.2,16.15,44.5
lottit1,xc:759683,149,36,1.643,0.82,59.15,84.4
lottit1,xc:708449,107,22,1.741,1.205,38.3,51.16
lottit1,xc:502966,19,8,0.999,0.255,7.99,22.01
lottit1,xc:1073133,39,13,0.818,0.49,10.64,21.89
lottit1,xc:688593,20,8,0.519,0.345,4.15,12.6
lottit1,xc:462475,349,133,1.251,0.56,166.34,256.31
lottit1,xc:217401,302,68,1.198,0.165,81.49,136.36
lottit1,xc:294830,26,3,3.853,3.02,11.56,12.59
lottit1,xc:488618,18,12,5.07,5.81,60.84,61.71
lottit1,xc:46758,139,87,0.277,0.15,24.1,96.14
lottit1,xc:611217,64,43,0.382,0.15,16.42,60.97
lottit1,xc:486174,130,19,2.782,2.03,52.86,55.58
lottit1,xc:499649,389,179,0.598,0.23,107.06,250.19
lottit1,xc:339919,16,3,2.633,1.41,7.9,10.23
lottit1,xc:530279,149,64,0.816,0.315,52.22,96.16
lottit1,xc:424195,264,67,2.721,1.34,182.32,206.59
lottit1,xc:503776,106,35,2.53,1.65,88.54,99.47
lottit1,xc:748765,64,11,4.125,4.2,45.37,49.25
mallar3,xc:846028,22,6,1.493,0.51,8.96,17.02
mallar3,xc:779764,9,4,1.765,1.62,7.06,24.89
mallar3,xc:630299,6,1,4.2,4.2,4.2,4.31
mallar3,xc:879568,10,2,3.535,3.535,7.07,7.98
mallar3,xc:631555,19,5,3.036,1.27,15.18,19.31
mallar3,xc:541823,8,5,2.666,2.26,13.33,13.88
mallar3,xc:676710,85,12,2.152,1.63,25.82,54.39
mallar3,xc:534648,24,8,3.829,3.665,30.63,31.85
mallar3,xc:354680,20,14,0.413,0.255,5.78,20.74
mallar3,xc:718815,2,1,3.47,3.47,3.47,4.18
mallar3,xc:1024361,65,39,0.574,0.22,22.39,51.43
mallar3,xc:170676,26,5,2.784,3.35,13.92,16.0
mallar3,xc:601278,19,14,0.747,0.15,10.46,52.15
mallar3,xc:573929,20,3,2.587,3.5,7.76,9.7
mallar3,xc:308994,5,1,5.43,5.43,5.43,5.47
mallar3,xc:396538,694,209,2.337,1.59,488.33,641.5
mallar3,xc:845103,2,1,4.33,4.33,4.33,4.51
mallar3,xc:791925,7,4,0.988,0.42,3.95,8.13
mallar3,xc:710910,14,4,2.007,0.52,8.03,10.38
mallar3,xc:459668,82,20,2.244,0.785,44.89,56.19
meabun1,xc:23968,64,13,2.764,2.1,35.93,44.78
meabun1,xc:491232,26,15,0.668,0.49,10.02,21.58
meabun1,xc:1018429,78,22,1.732,1.57,38.1,55.01
meabun1,xc:282181,13,11,0.68,0.44,7.48,23.05
meabun1,xc:626398,31,26,0.269,0.31,6.99,49.01
meabun1,xc:94559,42,10,1.525,0.885,15.25,22.73
meabun1,xc:915212,62,23,1.951,0.97,44.88,67.12
meabun1,xc:992954,58,19,1.593,1.48,30.26,42.32
meabun1,xc:491231,53,34,0.448,0.405,15.22,55.75
meabun1,xc:906318,115,26,1.482,0.775,38.53,53.59
meabun1,xc:824054,29,21,0.619,0.5,13.0,46.61
meabun1,xc:155678,35,16,0.777,0.19,12.43,36.32
meabun1,xc:992953,55,20,1.25,1.15,25.0,37.77
meabun1,xc:464651,114,49,1.083,1.23,53.08,114.08
meabun1,xc:285653,24,8,0.846,0.415,6.77,14.45
meabun1,xc:414492,64,22,1.065,1.15,23.44,39.29
meabun1,xc:491979,25,8,3.006,3.485,24.05,27.3
meabun1,xc:1024146,286,165,1.004,0.62,165.73,392.76
meabun1,xc:459118,6,6,0.575,0.57,3.45,10.25
meabun1,xc:172704,105,25,3.213,3.11,80.33,92.82
norpin,xc:733153,48,24,0.51,0.195,12.24,36.68
norpin,xc:972654,26,13,2.308,1.39,30.0,32.03
norpin,xc:971856,9,5,2.232,2.66,11.16,12.65
norpin,xc:615278,2,2,4.885,4.885,9.77,9.86
norpin,xc:463194,1,1,5.17,5.17,5.17,5.79
norpin,xc:844735,39,7,1.614,1.08,11.3,14.94
norpin,xc:617386,33,9,2.399,1.84,21.59,23.78
norpin,xc:718504,1,1,3.47,3.47,3.47,3.92
norpin,xc:713287,1,1,0.14,0.14,0.14,4.05
norpin,xc:715211,5,4,4.642,4.35,18.57,20.86
norpin,xc:432258,50,12,2.403,2.0,28.84,33.81
norpin,xc:616572,106,30,1.367,0.495,41.0,60.98
norpin,xc:979494,11,4,0.962,0.72,3.85,13.93
norpin,xc:640792,21,2,5.025,5.025,10.05,10.95
norpin,xc:984329,49,10,2.278,1.51,22.78,25.03
norpin,xc:129047,28,7,1.774,1.6,12.42,16.38
norpin,xc:880897,35,33,0.351,0.07,11.59,60.74
norpin,xc:113186,35,10,2.523,1.415,25.23,27.02
norpin,xc:614451,177,31,2.564,1.84,79.49,96.61
norpin,xc:381982,29,6,1.675,1.36,10.05,13.85
norsho,xc:974364,5,4,0.085,0.05,0.34,10.66
norsho,xc:712354,9,4,1.002,1.02,4.01,7.01
norsho,xc:501879,200,43,1.869,0.58,80.36,99.09
norsho,xc:617375,124,41,1.168,0.3,47.88,72.81
norsho,xc:586812,6,2,2.785,2.785,5.57,9.79
norsho,xc:683730,54,9,3.042,2.97,27.38,31.14
norsho,xc:617376,6,2,5.135,5.135,10.27,11.29
norsho,xc:190730,8,1,2.23,2.23,2.23,2.27
norsho,xc:479841,23,4,3.06,2.795,12.24,14.15
norsho,xc:448754,36,10,0.734,0.26,7.34,14.6
norsho,xc:540953,24,9,0.749,0.06,6.74,16.88
norsho,xc:644498,5,2,0.86,0.86,1.72,2.53
norsho,xc:1020442,106,17,3.576,2.94,60.8,67.95
norsho,xc:1012765,18,3,3.17,1.54,9.51,10.62
norsho,xc:706887,62,30,3.872,3.445,116.15,119.71
norsho,xc:1077690,13,5,1.898,0.49,9.49,10.62
norsho,xc:692984,33,3,4.41,4.89,13.23,14.28
norsho,xc:800553,20,8,0.529,0.385,4.23,9.68
norsho,xc:612076,72,13,2.238,1.42,29.09,34.91
norsho,xc:800991,22,5,4.134,5.44,20.67,22.19
origre,xc:286288,6,3,2.24,1.89,6.72,8.7
origre,xc:992580,222,84,1.094,0.67,91.9,165.28
origre,xc:451340,71,27,1.027,0.52,27.72,46.11
origre,xc:285949,53,16,2.439,1.645,39.02,47.7
origre,xc:872882,24,15,1.402,1.36,21.03,44.63
origre,xc:268302,96,9,2.598,1.28,23.38,27.49
origre,xc:872884,35,29,0.762,0.68,22.09,55.35
origre,xc:733017,75,41,0.905,0.58,37.09,72.85
origre,xc:974852,32,10,1.086,0.43,10.86,16.32
origre,xc:464663,33,7,2.007,1.82,14.05,18.49
origre,xc:838773,75,48,0.576,0.22,27.65,80.05
origre,xc:769566,6,6,0.098,0.105,0.59,10.32
origre,xc:974850,83,31,0.682,0.43,21.15,45.38
origre,xc:401718,38,16,0.68,0.385,10.88,23.41
origre,xc:727349,7,5,2.82,1.85,14.1,14.74
origre,xc:733024,114,41,1.199,0.47,49.16,79.01
origre,xc:1006008,54,15,1.394,1.3,20.91,31.78
origre,xc:294777,25,16,0.207,0.115,3.31,13.77
origre,xc:805987,33,3,3.623,2.41,10.87,11.97
origre,xc:762173,97,33,0.912,0.46,30.11,52.71
ortdov,xc:473070,27,7,2.393,2.23,16.75,19.94
ortdov,xc:751150,110,60,0.447,0.1,26.81,86.05
ortdov,xc:955876,11,6,2.293,1.31,13.76,17.51
ortdov,xc:657028,62,39,0.378,0.11,14.75,49.01
ortdov,xc:327475,87,30,2.245,1.66,67.34,90.22
ortdov,xc:589138,6,6,1.813,0.7,10.88,11.89
ortdov,xc:1009283,102,28,1.642,0.74,45.99,67.92
ortdov,xc:1015969,18,3,4.597,5.59,13.79,14.32
ortdov,xc:872831,21,6,1.503,0.285,9.02,14.61
ortdov,xc:286093,18,7,3.524,2.6,24.67,25.58
ortdov,xc:473071,33,7,2.374,3.0,16.62,20.35
ortdov,xc:875245,24,4,3.195,3.155,12.78,16.46
ortdov,xc:787976,25,17,3.539,3.56,60.17,64.96
ortdov,xc:844594,13,2,3.835,3.835,7.67,9.64
ortdov,xc:875246,20,6,2.207,1.885,13.24,18.01
ortdov,xc:872802,31,7,2.813,1.99,19.69,24.53
ortdov,xc:723155,16,3,2.93,2.33,8.79,9.61
ortdov,xc:655377,40,15,1.283,0.89,19.25,34.37
ortdov,xc:618817,26,7,1.321,0.28,9.25,12.07
ortdov,xc:428975,58,13,2.395,2.31,31.14,37.64
osprey,xc:511013,70,26,1.189,0.295,30.92,51.02
osprey,xc:465294,74,12,2.604,1.66,31.25,36.86
osprey,xc:694232,47,22,0.515,0.165,11.34,32.3
osprey,xc:272312,96,25,1.86,1.07,46.51,63.25
osprey,xc:588910,66,26,1.968,0.565,51.17,84.36
osprey,xc:592797,9,6,0.565,0.38,3.39,10.13
osprey,xc:333145,70,18,2.134,1.415,38.42,47.96
osprey,xc:118482,46,22,1.144,0.345,25.17,33.05
osprey,xc:805450,20,16,0.294,0.21,4.71,15.2
osprey,xc:466216,14,5,2.164,0.6,10.82,13.88
osprey,xc:664256,68,34,0.886,0.425,30.13,52.03
osprey,xc:466220,38,18,0.876,0.225,15.77,42.85
osprey,xc:174764,87,24,2.583,2.37,61.98,71.34
osprey,xc:796760,4,4,1.205,1.08,4.82,10.95
osprey,xc:900336,42,22,0.325,0.05,7.15,58.64
osprey,xc:18375,21,18,3.093,1.605,55.68,58.7
osprey,xc:318235,1,3,6.26,8.0,18.78,18.82
osprey,xc:588905,33,8,2.505,1.585,20.04,22.02
osprey,xc:166110,76,39,5.263,6.39,205.27,212.91
osprey,xc:915827,16,1,7.73,7.73,7.73,7.83
palthr1,xc:758275,26,12,0.657,0.19,7.88,39.24
palthr1,xc:772404,14,4,2.485,1.285,9.94,13.2
palthr1,xc:707803,143,42,2.106,1.355,88.45,122.6
palthr1,xc:652386,127,36,1.46,0.63,52.55,73.01
palthr1,xc:780155,4,1,7.36,7.36,7.36,10.22
palthr1,xc:843240,38,10,4.183,4.57,41.83,44.62
palthr1,xc:988531,26,7,3.586,3.94,25.1,27.58
palthr1,xc:972443,9,4,0.67,0.23,2.68,6.01
palthr1,xc:988532,25,4,5.908,7.655,23.63,24.97
palthr1,xc:637017,83,21,1.563,1.15,32.83,45.64
palthr1,xc:879574,6,3,0.7,0.42,2.1,6.17
palthr1,xc:761447,1,1,0.19,0.19,0.19,8.39
palthr1,xc:893999,31,17,0.906,0.51,15.41,33.01
palthr1,xc:757103,27,11,0.525,0.18,5.78,21.01
palthr1,xc:857164,1,1,0.4,0.4,0.4,5.71
palthr1,xc:841464,27,23,3.681,4.5,84.67,86.98
palthr1,xc:759486,9,7,0.154,0.13,1.08,21.51
palthr1,xc:878403,80,23,3.847,4.53,88.49,97.41
palthr1,xc:99374,11,7,4.401,4.95,30.81,32.91
palthr1,xc:758851,9,8,0.307,0.18,2.46,20.89
pygwoo1,xc:191044,1,1,1.54,1.54,1.54,1.58
pygwoo1,xc:267398,101,27,1.512,1.09,40.83,75.32
pygwoo1,xc:285634,10,4,0.727,0.5,2.91,8.16
pygwoo1,xc:267395,7,6,0.668,0.165,4.01,10.01
pygwoo1,xc:285907,11,5,2.002,1.39,10.01,11.71
pygwoo1,xc:797112,23,12,0.873,0.74,10.48,31.7
pygwoo1,xc:194382,1,3,7.517,8.0,22.55,22.59
pygwoo1,xc:155674,35,31,0.169,0.05,5.25,62.05
pygwoo1,xc:858022,13,10,0.204,0.12,2.04,9.52
pygwoo1,xc:841033,10,10,0.35,0.37,3.5,22.32
pygwoo1,xc:267394,267,97,1.336,0.74,129.63,215.15
pygwoo1,xc:267412,36,22,0.435,0.155,9.56,37.52
pygwoo1,xc:1016398,8,1,2.64,2.64,2.64,4.86
pygwoo1,xc:267415,111,23,1.78,0.62,40.95,53.77
pygwoo1,xc:797722,50,31,0.281,0.09,8.71,30.67
pygwoo1,xc:804650,120,47,0.95,0.44,44.63,84.67
pygwoo1,xc:655375,19,9,0.598,0.3,5.38,13.53
pygwoo1,xc:155862,69,15,2.799,2.55,41.98,49.81
pygwoo1,xc:285870,230,60,4.029,3.94,241.74,258.64
pygwoo1,xc:797723,28,9,1.026,1.07,9.23,18.05
rocpig,xc:349161,36,11,1.802,1.47,19.82,32.55
rocpig,xc:269761,47,14,2.486,1.715,34.8,43.21
rocpig,xc:488175,27,7,3.76,3.07,26.32,28.4
rocpig,xc:621266,31,13,3.738,4.23,48.6,51.1
rocpig,xc:380349,21,5,2.758,2.28,13.79,15.73
rocpig,xc:825052,46,12,1.563,1.2,18.76,28.57
rocpig,xc:315410,9,8,0.425,0.54,3.4,40.92
rocpig,xc:486873,33,15,1.23,1.45,18.45,33.37
rocpig,xc:348079,7,1,4.31,4.31,4.31,4.57
rocpig,xc:266224,21,2,5.755,5.755,11.51,11.97
rocpig,xc:48676,12,8,1.516,0.91,12.13,18.6
rocpig,xc:706902,144,27,3.27,3.5,88.28,95.95
rocpig,xc:169211,66,25,0.93,0.33,23.24,50.97
rocpig,xc:569664,11,2,2.99,2.99,5.98,6.59
rocpig,xc:1046372,4,3,0.23,0.05,0.69,4.3
rocpig,xc:796913,101,25,1.952,1.72,48.81,65.22
rocpig,xc:51716,24,6,3.155,2.655,18.93,22.47
rocpig,xc:645563,258,68,3.03,2.755,206.07,262.55
rocpig,xc:1023563,48,21,1.124,0.82,23.6,45.54
rocpig,xc:121680,82,29,0.989,0.38,28.68,45.08
skylar,xc:949909,23,14,0.856,0.27,11.99,24.17
skylar,xc:975229,38,28,4.215,4.28,118.02,120.66
skylar,xc:180733,18,21,3.72,2.92,78.13,79.21
skylar,xc:627311,79,47,3.797,3.32,178.45,197.51
skylar,xc:704675,13,2,7.15,7.15,14.3,14.58
skylar,xc:287131,4,4,3.918,3.455,15.67,16.29
skylar,xc:431443,1,1,0.16,0.16,0.16,1.34
skylar,xc:917689,11,19,5.462,8.0,103.77,106.01
skylar,xc:737688,9,8,5.301,5.355,42.41,45.6
skylar,xc:607294,6,4,3.925,3.14,15.7,15.97
skylar,xc:933082,75,22,2.899,2.41,63.77,68.59
skylar,xc:797675,3,3,0.197,0.26,0.59,9.94
skylar,xc:583693,23,18,2.522,0.98,45.39,57.34
skylar,xc:395043,152,62,3.301,2.455,204.69,214.69
skylar,xc:288761,3,10,6.788,8.0,67.88,68.06
skylar,xc:812075,7,6,3.957,3.1,23.74,24.88
skylar,xc:138228,45,5,4.344,3.82,21.72,23.15
skylar,xc:439200,77,14,4.037,3.9,56.52,60.61
skylar,xc:35949,3,7,6.541,8.0,45.79,46.04
skylar,xc:718610,73,32,3.589,2.73,114.85,118.79
spbduc,xc:803917,34,9,1.664,0.37,14.98,19.35
spbduc,xc:992583,200,70,0.87,0.26,60.87,103.91
spbduc,xc:920581,62,25,0.535,0.27,13.37,36.6
spbduc,xc:266814,10,8,0.506,0.225,4.05,10.98
spbduc,xc:414277,144,29,3.412,3.73,98.95,104.07
spbduc,xc:414280,94,18,4.504,4.61,81.08,85.09
spbduc,xc:266815,54,14,1.614,1.03,22.59,31.43
spbduc,xc:858061,18,15,4.753,6.87,71.29,72.47
spbduc,xc:266817,8,4,0.688,0.595,2.75,4.63
spbduc,xc:835962,14,11,2.268,1.09,24.95,26.21
spbduc,xc:858060,10,13,6.352,8.0,82.58,85.17
spbduc,xc:266818,17,4,1.443,1.425,5.77,9.59
spbduc,xc:21569,14,1,5.71,5.71,5.71,5.75
spbduc,xc:842810,22,4,2.328,2.03,9.31,11.98
spbduc,xc:841268,143,42,0.94,0.09,39.46,81.82
spbduc,xc:581286,17,3,3.513,1.63,10.54,11.63
spbduc,xc:858062,24,4,3.608,3.325,14.43,15.45
spbduc,xc:286056,3,4,2.502,0.975,10.01,10.85
spbduc,xc:854546,123,33,1.354,0.23,44.68,70.68
spbduc,xc:266813,50,13,1.243,0.48,16.16,24.9
tufduc,xc:280915,1,3,7.977,8.0,23.93,24.09
tufduc,xc:76445,4,2,4.085,4.085,8.17,8.5
tufduc,xc:792843,30,5,3.15,1.95,15.75,17.87
tufduc,xc:488129,4,2,0.69,0.69,1.38,4.76
tufduc,xc:810555,34,7,2.414,2.24,16.9,20.54
tufduc,xc:996042,24,5,1.708,1.82,8.54,12.53
tufduc,xc:538154,13,9,1.76,0.86,15.84,17.59
tufduc,xc:417298,20,5,2.316,2.0,11.58,17.59
tufduc,xc:243766,5,2,4.69,4.69,9.38,9.49
tufduc,xc:763788,5,5,3.648,2.41,18.24,18.9
tufduc,xc:587228,52,13,2.754,1.06,35.8,40.65
tufduc,xc:706888,7,9,4.71,5.22,42.39,42.9
tufduc,xc:468384,14,10,3.73,3.375,37.3,38.33
tufduc,xc:992786,121,52,0.724,0.42,37.63,79.51
tufduc,xc:487847,272,38,2.996,2.5,113.83,131.18
tufduc,xc:488130,3,3,0.457,0.23,1.37,3.79
tufduc,xc:530275,23,12,2.449,1.14,29.39,34.43
tufduc,xc:796658,29,7,1.82,0.08,12.74,23.89
tufduc,xc:632557,151,16,3.206,3.345,51.29,59.98
tufduc,xc:488112,4384,1540,0.915,0.26,1409.16,2695.68
vartit1,xc:882175,127,79,0.439,0.08,34.68,165.01
vartit1,xc:998735,46,23,1.219,0.61,28.03,60.66
vartit1,xc:790852,16,8,2.628,2.185,21.02,24.63
vartit1,xc:871190,107,41,1.607,0.95,65.87,126.51
vartit1,xc:843770,29,17,1.192,0.86,20.26,37.6
vartit1,xc:49797,44,13,2.076,1.1,26.99,38.01
vartit1,xc:856683,40,8,2.839,2.09,22.71,28.71
vartit1,xc:194395,29,13,1.54,1.2,20.02,28.94
vartit1,xc:890241,16,10,0.356,0.25,3.56,19.02
vartit1,xc:856671,105,31,1.171,0.76,36.3,56.43
vartit1,xc:578821,29,13,1.324,0.98,17.21,27.29
vartit1,xc:841031,8,8,0.699,0.585,5.59,17.82
vartit1,xc:266117,9,4,1.918,1.89,7.67,9.41
vartit1,xc:841029,14,5,1.738,2.27,8.69,16.17
vartit1,xc:202775,28,15,1.111,0.77,16.66,28.3
vartit1,xc:641399,64,22,2.039,1.62,44.86,57.07
vartit1,xc:175791,15,11,4.233,5.33,46.56,48.16
vartit1,xc:332820,30,17,2.718,2.13,46.21,61.35
vartit1,xc:414992,93,21,2.841,2.14,59.67,70.75
vartit1,xc:724706,41,6,3.475,3.955,20.85,24.12
warwhe1,xc:69779,17,4,3.098,2.425,12.39,14.65
warwhe1,xc:155881,96,24,2.378,1.62,57.06,71.5
warwhe1,xc:617434,185,53,2.142,2.58,113.5,186.21
warwhe1,xc:219961,82,15,3.173,2.11,47.59,58.0
warwhe1,xc:287972,95,23,3.376,2.95,77.64,85.58
warwhe1,xc:911176,319,163,3.812,3.96,621.39,648.44
warwhe1,xc:208165,1,2,7.765,7.765,15.53,15.57
warwhe1,xc:69778,80,31,1.775,1.51,55.02,90.2
warwhe1,xc:192982,103,51,0.556,0.27,28.37,67.28
warwhe1,xc:194291,26,3,5.41,6.95,16.23,17.45
warwhe1,xc:285915,62,14,2.316,2.045,32.43,42.11
warwhe1,xc:164815,51,14,1.77,1.73,24.78,37.67
warwhe1,xc:915201,47,9,2.744,2.95,24.7,29.12
warwhe1,xc:806913,482,163,3.49,3.72,568.86,605.55
warwhe1,xc:823077,14,7,4.713,5.7,32.99,33.68
warwhe1,xc:69777,9,3,2.027,0.5,6.08,9.2
warwhe1,xc:911225,21,16,4.984,4.9,79.75,81.93
warwhe1,xc:617441,63,37,0.408,0.21,15.11,41.72
warwhe1,xc:79215,22,7,0.974,0.39,6.82,22.21
warwhe1,xc:292566,24,7,2.641,2.15,18.49,23.19
whcsta1,xc:790703,260,40,3.041,2.455,121.64,140.74
whcsta1,xc:333014,63,16,1.491,1.01,23.85,34.65
whcsta1,xc:574136,29,5,2.302,0.37,11.51,18.68
whcsta1,xc:824056,35,7,2.433,1.03,17.03,19.9
whcsta1,xc:810042,9,5,0.34,0.16,1.7,11.34
whcsta1,xc:882612,117,27,1.937,1.27,52.29,67.95
whcsta1,xc:809875,269,89,0.915,0.32,81.47,158.05
whcsta1,xc:146051,144,34,1.356,0.735,46.11,70.67
whcsta1,xc:920580,19,5,1.722,1.33,8.61,11.55
whcsta1,xc:267611,26,18,0.668,0.25,12.03,36.08
whcsta1,xc:820836,7,5,0.202,0.13,1.01,5.01
whcsta1,xc:840780,100,19,2.399,1.69,45.58,55.35
whcsta1,xc:392765,23,11,2.371,1.44,26.08,32.0
whcsta1,xc:858065,14,4,4.195,4.795,16.78,17.76
whcsta1,xc:1027907,23,8,3.875,4.325,31.0,32.28
whcsta1,xc:915153,23,8,1.199,0.815,9.59,14.84
whcsta1,xc:915079,6,2,1.355,1.355,2.71,3.5
whcsta1,xc:712165,6,4,0.63,0.27,2.52,5.02
whcsta1,xc:779382,10,10,0.17,0.15,1.7,14.42
whcsta1,xc:113529,32,5,5.066,4.44,25.33,26.65
whiwag,xc:212874,28,9,1.752,0.54,15.77,23.43
whiwag,xc:332116,18,15,0.507,0.3,7.61,23.36
whiwag,xc:944139,55,33,0.466,0.21,15.38,56.97
whiwag,xc:201954,23,3,4.253,3.39,12.76,14.02
whiwag,xc:617835,10,4,0.867,0.445,3.47,7.18
whiwag,xc:187183,30,16,0.763,0.325,12.21,26.55
whiwag,xc:753781,2,2,0.325,0.325,0.65,10.04
whiwag,xc:63088,9,8,0.236,0.185,1.89,10.53
whiwag,xc:67298,160,27,1.623,1.27,43.81,58.0
whiwag,xc:297867,128,23,2.534,2.09,58.28,71.66
whiwag,xc:458681,113,63,1.115,0.93,70.26,156.42
whiwag,xc:487300,23,5,1.708,1.07,8.54,11.31
whiwag,xc:665137,17,2,4.68,4.68,9.36,9.91
whiwag,xc:728228,143,25,2.266,0.65,56.64,70.55
whiwag,xc:552985,9,6,0.612,0.315,3.67,6.6
whiwag,xc:879928,34,17,0.966,0.34,16.43,36.74
whiwag,xc:759533,16,6,1.083,0.695,6.5,10.78
whiwag,xc:731463,50,13,3.199,2.23,41.59,44.57
whiwag,xc:861059,217,58,4.273,4.76,247.84,260.91
whiwag,xc:479290,8,4,0.835,0.59,3.34,5.69
zitcis1,xc:476911,111,37,1.137,0.3,42.08,61.07
zitcis1,xc:753226,156,47,0.803,0.33,37.76,60.44
zitcis1,xc:301756,59,22,1.174,0.5,25.83,37.54
zitcis1,xc:359154,17,5,2.912,2.27,14.56,16.07
zitcis1,xc:1011812,23,8,4.004,3.93,32.03,32.82
zitcis1,xc:828633,70,13,2.316,1.73,30.11,35.58
zitcis1,xc:474374,12,12,0.103,0.105,1.23,9.37
zitcis1,xc:337541,132,53,0.602,0.4,31.88,70.72
zitcis1,xc:1027807,48,25,0.476,0.23,11.89,28.19
zitcis1,xc:195732,18,9,2.921,2.72,26.29,27.01
zitcis1,xc:714232,1,1,4.35,4.35,4.35,4.39
zitcis1,xc:1060751,2,2,0.06,0.06,0.12,11.93
zitcis1,xc:617351,1,2,6.555,6.555,13.11,13.24
zitcis1,xc:963907,21,4,5.42,6.185,21.68,23.32
zitcis1,xc:793914,11,1,2.65,2.65,2.65,3.09
zitcis1,xc:644123,69,12,2.471,1.625,29.65,34.5
zitcis1,xc:906062,30,5,1.872,0.28,9.36,10.67
zitcis1,xc:776863,31,2,5.39,5.39,10.78,11.49
zitcis1,xc:734272,12,9,0.29,0.11,2.61,8.45
zitcis1,xc:378257,2,3,2.803,0.35,8.41,8.55
