recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:344932,bktgul,2,9,2.786,0.31,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344932_comparison.png
xc:344932,bktgul,3,7,11.024,1.575,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344932_comparison.png
xc:344932,bktgul,4,5,1.834,0.367,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344932_comparison.png
xc:344932,bktgul,5,1,11.993,11.993,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344932_comparison.png
xc:493737,blakit1,1,148,29.6,0.2,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_493737_comparison.png
xc:493737,blakit1,2,231,33.82,0.146,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_493737_comparison.png
xc:493737,blakit1,3,94,87.4,0.93,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_493737_comparison.png
xc:493737,blakit1,4,44,3.077,0.07,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_493737_comparison.png
xc:493737,blakit1,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_493737_comparison.png
xc:507829,blakit1,1,9,2.304,0.256,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_507829_comparison.png
xc:507829,blakit1,2,13,2.352,0.181,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_507829_comparison.png
xc:507829,blakit1,3,4,3.637,0.909,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_507829_comparison.png
xc:507829,blakit1,4,2,1.077,0.539,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_507829_comparison.png
xc:507829,blakit1,5,1,4.147,4.147,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_507829_comparison.png
xc:628280,blakit1,1,10,3.344,0.334,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_628280_comparison.png
xc:628280,blakit1,2,27,3.784,0.14,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_628280_comparison.png
xc:628280,blakit1,3,9,12.581,1.398,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_628280_comparison.png
xc:628280,blakit1,4,9,1.621,0.18,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_628280_comparison.png
xc:628280,blakit1,5,1,13.509,13.509,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_628280_comparison.png
xc:1026906,blakit1,1,112,25.525,0.228,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_1026906_comparison.png
xc:1026906,blakit1,2,204,30.995,0.152,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_1026906_comparison.png
xc:1026906,blakit1,3,99,78.899,0.797,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_1026906_comparison.png
