









Frequency of observations in the selected location(s).:
Number of taxa: 	873

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
ナンキンオシ (<em class="sci">Nettapus coromandelianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.126E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
オシドリ (<em class="sci">Aix galericulata</em>)	0.0219463	0.0261886	0.0201748	0.0189946	0.0217918	0.0197262	0.0242939	0.0185001	0.0145663	0.0178353	0.0185474	0.018528	0.012685	0.0129012	0.0127612	0.0113623	0.0114959	0.0130818	0.0166253	0.015201	0.0130412	0.0164523	0.0135802	0.0119244	0.0142547	0.0112843	0.0082988	0.0101338	0.0087311	0.013169	0.0091514	0.0089337	0.0073739	0.0095143	0.0111533	0.0091503	0.0129337	0.023556	0.0194647	0.0179097	0.0167879	0.0171652	0.0184818	0.0158485	0.0197826	0.0195446	0.0197983	0.0165913	
トモエガモ (<em class="sci">Sibirionetta formosa</em>)	0.025834	0.0294118	0.0231338	0.0250384	0.0206448	0.0220469	0.0181472	0.0142308	0.009329	0.0087428	0.0060669	0.0033453	0.0016263	0.0012287	5.609E-4	1.196E-4	1.402E-4	1.377E-4	1.458E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	2.379E-4	2.504E-4	2.373E-4	0.0022876	0.0022583	0.0038722	0.0019117	0.0042418	0.0078344	0.0090075	0.0107261	0.0199717	0.023347	0.0282732	0.0218528	0.0249946	
シマアジ (<em class="sci">Spatula querquedula</em>)	0.0012541	0.0010744	6.725E-4	8.634E-4	0.0011469	8.123E-4	4.39E-4	7.115E-4	0.0027823	0.0019234	0.0065869	0.0095214	0.0094324	0.0109046	0.0088347	0.0107643	0.0054675	0.002341	0.0023334	0.0020268	8.694E-4	3.782E-4	0.0	5.504E-4	2.416E-4	2.687E-4	0.0011065	0.0	0.0	2.802E-4	5.546E-4	0.0020909	0.0076118	0.0095143	0.0099668	0.0109477	0.0102648	0.0058083	0.0048662	0.0024744	0.0022384	0.0016995	8.251E-4	5.154E-4	0.001604	0.0013283	7.471E-4	0.0011851	
ハシビロガモ (<em class="sci">Spatula clypeata</em>)	0.1259092	0.1308085	0.1106927	0.1102264	0.1033516	0.1019958	0.1011269	0.0957734	0.092635	0.1173282	0.1024441	0.0999743	0.0821272	0.0681923	0.0555322	0.0497548	0.0276181	0.0148719	0.0061251	0.0075442	0.0039993	0.0026475	8.23E-4	0.0011007	7.248E-4	0.001612	8.299E-4	0.0012161	8.731E-4	0.001401	8.319E-4	9.504E-4	0.0023787	0.0030045	0.0111533	0.025817	0.0334634	0.0466279	0.0613486	0.0861317	0.102826	0.1235554	0.1315182	0.1319418	0.1459633	0.1322581	0.1298095	0.1301444	
オカヨシガモ (<em class="sci">Mareca strepera</em>)	0.1270379	0.1156326	0.1015467	0.1116654	0.1027144	0.0973544	0.098639	0.0976235	0.1055646	0.1166288	0.0856301	0.0925116	0.0601724	0.0440793	0.028888	0.0228442	0.0084116	0.0044065	0.0045209	0.0072064	0.0053904	0.0066188	0.0041152	0.0060539	0.0050737	0.0037614	0.004426	0.0026348	0.0017462	0.0028019	0.0027732	0.0041817	0.0030923	0.0032549	0.0026103	0.0039216	0.0061589	0.0114553	0.0107751	0.0250972	0.0618355	0.092794	0.1014851	0.1208607	0.1263589	0.1235294	0.1303698	0.1228184	
雑種 ハシビロガモ ｘ オカヨシガモ (<em class="sci">Spatula clypeata x Mareca strepera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.423E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7E-4	4.95E-4	0.0	0.0	0.0	0.0	0.0	
ヨシガモ (<em class="sci">Mareca falcata</em>)	0.0611989	0.0703734	0.0593141	0.0633154	0.0577291	0.0627756	0.0578077	0.0564964	0.0517185	0.0463368	0.0416017	0.0415594	0.0346398	0.0288742	0.0178096	0.0233226	0.0116361	0.007436	0.0039376	0.0043914	0.0053904	0.0039713	0.0024691	0.002018	0.0019328	0.001612	0.0013831	8.107E-4	2.91E-4	2.802E-4	0.0	1.901E-4	2.379E-4	0.0012519	0.0016611	0.004085	0.0073907	0.0116167	0.0154675	0.0203841	0.0355344	0.0433379	0.04967	0.0570803	0.0550704	0.0626186	0.0653717	0.0685197	
雑種 トモエガモ ｘ ヨシガモ (<em class="sci">Sibirionetta formosa x Mareca falcata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.423E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ヒドリガモ (<em class="sci">Mareca penelope</em>)	0.2406571	0.2391888	0.2090114	0.2197813	0.2105263	0.2099095	0.2091322	0.2067739	0.2026187	0.2190942	0.2133819	0.2050952	0.185396	0.15589	0.12046	0.0937687	0.0426188	0.0228587	0.0119586	0.012949	0.0100852	0.0075643	0.008642	0.0049532	0.0045905	0.0061795	0.0058091	0.0036482	0.0032014	0.0022415	0.004437	0.0032313	0.0040438	0.0027541	0.016374	0.0455882	0.0632314	0.119716	0.1456378	0.178744	0.2034135	0.2297757	0.2344884	0.2457158	0.2464801	0.2341556	0.2510273	0.2499461	
Baikal Teal x Eurasian Wigeon (hybrid) (<em class="sci">Sibirionetta formosa x Mareca penelope</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.232E-4	
