ebird_species_code,scientific_name,japanese_name,ebird_common_name,frequency_annual_mean,frequency_max,n_periods_detected,residence_status
strshe,Calonectris leucomelas,オオミズナギドリ,Streaked Shearwater,0.013388556249999996,0.0329138,47.0,resident
whimbr,Numenius phaeopus,チュウシャクシギ,Whimbrel,0.013334827083333329,0.0778023,48.0,summer
lessap2,Charadrius mongolus,メダイチドリ,Siberian Sand-Plover,0.013329525000000002,0.0532826,48.0,summer
bkbplo,Pluvialis squatarola,ダイゼン,Black-bellied Plover,0.013252143749999995,0.0361148,48.0,resident
comcuc,Cuculus canorus,カッコウ,Common Cuckoo,0.013018577083333335,0.0987141,29.0,summer
categr2,Bubulcus ibis,アマサギ,Eastern Cattle-Egret,0.012675174999999999,0.0310869,48.0,resident
reblei,Leiothrix lutea,ソウシチョウ,Red-billed Leiothrix,0.012360081250000002,0.0224588,48.0,resident
brodip1,Cinclus pallasii,カワガラス,Brown Dipper,0.012094458333333334,0.022245,48.0,resident
pagplo,Pluvialis fulva,ムナグロ,Pacific Golden-Plover,0.012052572916666664,0.0406755,48.0,resident
harduc,Histrionicus histrionicus,シノリガモ,Harlequin Duck,0.011984387500000006,0.0460998,48.0,winter
chebun2,Emberiza fucata,ホオアカ,Chestnut-eared Bunting,0.01175036666666667,0.0385779,48.0,resident
japthr1,Turdus cardis,クロツグミ,Japanese Thrush,0.011662570833333335,0.0549558,43.0,summer
ryumin1,Pericrocotus tegimae,リュウキュウサンショウクイ,Ryukyu Minivet,0.011579547916666667,0.0263964,48.0,resident
litter1,Sternula albifrons,コアジサシ,Little Tern,0.01120590208333333,0.0506098,35.0,summer
fotswi,Apus pacificus,アマツバメ,Pacific Swift,0.011054402083333333,0.0342549,39.0,summer
asistu1,Urosphena squameiceps,ヤブサメ,Asian Stubtail,0.010907687500000004,0.0468246,48.0,summer
oricuc2,Cuculus optatus,ツツドリ,Oriental Cuckoo,0.010665112499999999,0.0646844,32.0,summer
mewgul,Larus canus,カモメ,Common Gull,0.010508314583333336,0.0391348,47.0,winter
blfspo1,Platalea minor,クロツラヘラサギ,Black-faced Spoonbill,0.01040668333333333,0.027263,48.0,resident
rudtur,Arenaria interpres,キョウジョシギ,Ruddy Turnstone,0.01036381458333333,0.0571468,48.0,summer
woosan,Tringa glareola,タカブシギ,Wood Sandpiper,0.010360229166666667,0.0444814,46.0,resident
goldcr1,Regulus regulus,キクイタダキ,Goldcrest,0.010276385416666665,0.0185603,48.0,resident
grnsan,Tringa ochropus,クサシギ,Green Sandpiper,0.010191687499999998,0.0215947,44.0,resident
pacreh1,Egretta sacra,クロサギ,Pacific Reef-Heron,0.010009810416666669,0.0180255,48.0,resident
blksco2,Melanitta americana,クロガモ,Black Scoter,0.009978616666666665,0.0466771,48.0,winter
stseag,Haliaeetus pelagicus,オオワシ,Steller's Sea-Eagle,0.009966787499999998,0.0550733,33.0,winter
mutswa,Cygnus olor,コブハクチョウ,Mute Swan,0.00971358541666667,0.0267208,48.0,resident
mutswa,Cygnus olor,コブハクチョウ,Mute Swan,0.00971358541666667,0.0267208,48.0,resident
ashmin1,Pericrocotus divaricatus,サンショウクイ,Ashy Minivet,0.009587645833333335,0.0556568,35.0,summer
eursis,Spinus spinus,マヒワ,Eurasian Siskin,0.00943134375,0.0229763,47.0,resident
euroys1,Haematopus ostralegus,ミヤコドリ,Eurasian Oystercatcher,0.009430918749999998,0.0179404,48.0,resident
eurbul,Pyrrhula pyrrhula,ウソ,Eurasian Bullfinch,0.009417564583333333,0.019858,48.0,resident
tersan,Xenus cinereus,ソリハシシギ,Terek Sandpiper,0.009357541666666669,0.0598745,39.0,summer
sander,Calidris alba,ミユビシギ,Sanderling,0.008923320833333335,0.0297947,45.0,resident
reccra1,Grus japonensis,タンチョウ,Red-crowned Crane,0.008883999999999998,0.0249039,48.0,resident
easmah1,Circus spilonotus,チュウヒ,Eastern Marsh Harrier,0.008881175000000002,0.0243291,48.0,resident
houswi1,Apus nipalensis,ヒメアマツバメ,House Swift,0.008824547916666668,0.0178105,48.0,resident
japspa1,Accipiter gularis,ツミ,Japanese Sparrowhawk,0.008660720833333335,0.025817,48.0,resident
norlap,Vanellus vanellus,タゲリ,Northern Lapwing,0.008632645833333332,0.0381413,33.0,winter
whbwoo1,Dendrocopos leucotos,オオアカゲラ,White-backed Woodpecker,0.008630977083333333,0.0210004,48.0,resident
russpa2,Passer cinnamomeus,ニュウナイスズメ,Russet Sparrow,0.008538283333333332,0.0270424,48.0,resident
eurtre1,Certhia familiaris,キバシリ,Eurasian Treecreeper,0.008079797916666664,0.014075,48.0,resident
japfly1,Terpsiphone atrocaudata,サンコウチョウ,Black Paradise-Flycatcher,0.007831833333333335,0.0352982,29.0,summer
rubcra1,Zapornia fusca,ヒクイナ,Ruddy-breasted Crake,0.007815291666666667,0.0146365,48.0,resident
baitea,Sibirionetta formosa,トモエガモ,Baikal Teal,0.007765320833333332,0.0294118,36.0,winter
tunswa,Cygnus columbianus,コハクチョウ,Tundra Swan,0.007687020833333333,0.0233683,43.0,winter
batgod,Limosa lapponica,オオソリハシシギ,Bar-tailed Godwit,0.007506585416666666,0.0287932,47.0,summer
glagul,Larus hyperboreus,シロカモメ,Glaucous Gull,0.0072663375,0.0334424,43.0,winter
strher,Butorides striata,ササゴイ,Striated Heron,0.007003558333333336,0.0227008,48.0,summer
grybun,Emberiza variabilis,クロジ,Gray Bunting,0.0068895520833333335,0.0157962,48.0,resident
gysfly1,Muscicapa griseisticta,エゾビタキ,Gray-streaked Flycatcher,0.0068505270833333345,0.0769608,22.0,passage
rook1,Corvus frugilegus,ミヤマガラス,Rook,0.006689185416666668,0.0257857,35.0,winter
gwfgoo,Anser albifrons,マガン,Greater White-fronted Goose,0.0066756645833333335,0.0202294,43.0,winter
rudkin1,Halcyon coromanda,アカショウビン,Ruddy Kingfisher,0.0066173312500000005,0.0353564,27.0,summer
bbrwar1,Acrocephalus bistrigiceps,コヨシキリ,Black-browed Reed Warbler,0.006565658333333334,0.0461422,29.0,summer
jawpig1,Columba janthina,カラスバト,Black Wood-Pigeon,0.006501414583333334,0.0281789,48.0,resident
salwar1,Phylloscopus borealoides,エゾムシクイ,Sakhalin Leaf Warbler,0.006345577083333335,0.0539745,29.0,summer
glwgul,Larus glaucescens,ワシカモメ,Glaucous-winged Gull,0.0062842895833333315,0.0330155,47.0,winter
bncrai1,Rallus indicus,クイナ,Brown-cheeked Rail,0.0062117916666666675,0.0160522,48.0,winter
scathr2,Zoothera aurea,トラツグミ,White's Thrush,0.006069047916666665,0.0212039,48.0,resident
