ebird_species_code,species_num,scientific_name,japanese_name,ebird_sciname,ebird_common_name,order,family,ebird_common_name_freq,frequency_annual_mean,frequency_max,n_periods_detected,residence_status,xc_total,xc_japan,inat_total,inat_japan,inat_api_total,inat_api_japan,ml_total,ml_japan,recordings_total,recordings_japan,recordings_downloadable,priority_tier,priority_score,ml_available,ml_japan_available,recordings_with_ml
rebmer,59,Mergus serrator,ウミアイサ,Mergus serrator,Red-breasted Merganser,ANSERIFORMES,ANATIDAE,Red-breasted Merganser,0.0191404791666666,0.0663156,48.0,winter,92.0,0.0,1.0,0.0,8.0,0.0,104.0,0.0,205.0,0.0,101.0,P3,0.0024878808883934183,104.0,0.0,205.0
pacswa5,460,Hirundo tahitica,リュウキュウツバメ,Hirundo tahitica,Tahiti Swallow,PASSERIFORMES,HIRUNDINIDAE,Tahiti Swallow,0.0165652749999999,0.0265211,48.0,resident,73.0,6.0,0.0,0.0,27.0,0.0,1.0,0.0,101.0,6.0,100.0,P3,0.002477420727427693,1.0,0.0,101.0
pacreh1,338,Egretta sacra,クロサギ,Egretta sacra,Pacific Reef-Heron,PELECANIFORMES,ARDEIDAE,Pacific Reef-Heron,0.0100098104166666,0.0180255,48.0,resident,10.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0,1.0,10.0,P1,0.0023563985931935407,7.0,0.0,17.0
rusbun,625,Emberiza rustica,カシラダカ,Emberiza rustica,Rustic Bunting,PASSERIFORMES,EMBERIZIDAE,Rustic Bunting,0.0210963604166666,0.0589416,36.0,winter,390.0,2.0,4.0,0.0,18.0,1.0,124.0,22.0,536.0,25.0,412.0,P3,0.0023255743752786714,124.0,22.0,536.0
rensti,163,Calidris ruficollis,トウネン,Calidris ruficollis,Red-necked Stint,CHARADRIIFORMES,SCOLOPACIDAE,Red-necked Stint,0.0159031187499999,0.0946717,48.0,summer,51.0,0.0,0.0,0.0,1.0,0.0,62.0,2.0,114.0,2.0,52.0,P3,0.002318921379528272,62.0,2.0,114.0
eacwar1,476,Phylloscopus coronatus,センダイムシクイ,Phylloscopus coronatus,Eastern Crowned Warbler,PASSERIFORMES,PHYLLOSCOPIDAE,Eastern Crowned Warbler,0.0206737479166666,0.1190243,31.0,summer,171.0,45.0,7.0,6.0,56.0,50.0,249.0,159.0,483.0,260.0,234.0,P3,0.0023172065118037856,249.0,159.0,483.0
commer,58,Mergus merganser,カワアイサ,Mergus merganser,Common Merganser,ANSERIFORMES,ANATIDAE,Common Merganser,0.0226057645833333,0.0601493,48.0,resident,214.0,0.0,12.0,0.0,62.0,0.0,615.0,0.0,903.0,0.0,288.0,P3,0.0023015969034544865,615.0,0.0,903.0
whteag,361,Haliaeetus albicilla,オジロワシ,Haliaeetus albicilla,White-tailed Eagle,ACCIPITRIFORMES,ACCIPITRIDAE,White-tailed Eagle,0.0197199125,0.066031,48.0,resident,270.0,2.0,3.0,0.0,53.0,2.0,63.0,5.0,389.0,9.0,326.0,P3,0.0022900773095167917,63.0,5.0,389.0
lotros1,606,Carpodacus sibiricus,ベニマシコ,Carpodacus sibiricus,Long-tailed Rosefinch,PASSERIFORMES,FRINGILLIDAE,Long-tailed Rosefinch,0.0184055520833333,0.0361174,48.0,resident,116.0,10.0,3.0,1.0,42.0,8.0,104.0,55.0,265.0,74.0,161.0,P3,0.002283370100958515,104.0,55.0,265.0
gyfbuz1,363,Butastur indicus,サシバ,Butastur indicus,Gray-faced Buzzard,ACCIPITRIFORMES,ACCIPITRIDAE,Gray-faced Buzzard,0.0144287416666666,0.0400327,48.0,resident,21.0,2.0,0.0,0.0,2.0,2.0,57.0,18.0,80.0,22.0,23.0,P2,0.0022695436319177032,57.0,18.0,80.0
refblu1,556,Tarsiger cyanurus,ルリビタキ,Tarsiger cyanurus,Red-flanked Bluetail,PASSERIFORMES,MUSCICAPIDAE,Red-flanked Bluetail,0.0213269458333333,0.0550652,48.0,resident,333.0,28.0,4.0,0.0,70.0,5.0,351.0,93.0,758.0,126.0,407.0,P3,0.002228554610036888,351.0,93.0,758.0
blfspo1,320,Platalea minor,クロツラヘラサギ,Platalea minor,Black-faced Spoonbill,PELECANIFORMES,THRESKIORNITHIDAE,Black-faced Spoonbill,0.0104066833333333,0.027263,48.0,resident,1.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,25.0,5.0,1.0,P1,0.002188628716998724,24.0,4.0,25.0
gyhlap1,128,Vanellus cinereus,ケリ,Vanellus cinereus,Gray-headed Lapwing,CHARADRIIFORMES,CHARADRIIDAE,Gray-headed Lapwing,0.0156847479166666,0.0260734,48.0,resident,46.0,1.0,2.0,1.0,10.0,3.0,115.0,15.0,173.0,20.0,58.0,P3,0.0021049930918961117,115.0,15.0,173.0
amepip,595,Anthus rubescens,タヒバリ,Anthus rubescens,American Pipit,PASSERIFORMES,MOTACILLIDAE,American Pipit,0.02427155,0.066466,36.0,winter,273.0,7.0,38.0,0.0,168.0,1.0,2716.0,0.0,3195.0,8.0,479.0,P3,0.002084736412779984,2716.0,0.0,3195.0
bawfly2,539,Cyanoptila cyanomelana,オオルリ,Cyanoptila cyanomelana,Blue-and-white Flycatcher,PASSERIFORMES,MUSCICAPIDAE,Blue-and-white Flycatcher,0.0176446624999999,0.0946306,32.0,summer,93.0,34.0,2.0,2.0,28.0,27.0,231.0,195.0,354.0,258.0,123.0,P3,0.002081785917845704,231.0,195.0,354.0
easmah1,355,Circus spilonotus,チュウヒ,Circus spilonotus,Eastern Marsh Harrier,ACCIPITRIFORMES,ACCIPITRIDAE,Eastern Marsh Harrier,0.008881175,0.0243291,48.0,resident,6.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,18.0,1.0,6.0,P1,0.002054910402259124,12.0,1.0,18.0
norgos1,354,Accipiter gentilis,オオタカ,Astur gentilis,Eurasian Goshawk,ACCIPITRIFORMES,ACCIPITRIDAE,Eurasian Goshawk,0.0212579395833333,0.0417038,48.0,resident,776.0,3.0,19.0,0.0,287.0,1.0,333.0,5.0,1415.0,9.0,1082.0,P3,0.0020306335862461515,333.0,5.0,1415.0
martit2,444,Poecile palustris,ハシブトガラ,Poecile palustris,Marsh Tit,PASSERIFORMES,PARIDAE,Marsh Tit,0.0241734854166666,0.0468194,48.0,resident,1815.0,8.0,260.0,2.0,1849.0,36.0,1642.0,85.0,5566.0,131.0,3924.0,P3,0.0019427465394125968,1642.0,85.0,5566.0
baitea,23,Sibirionetta formosa,トモエガモ,Sibirionetta formosa,Baikal Teal,ANSERIFORMES,ANATIDAE,Baikal Teal,0.0077653208333333,0.0294118,36.0,winter,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,8.0,P1,0.001941330208333325,6.0,0.0,14.0
eargre,121,Podiceps nigricollis,ハジロカイツブリ,Podiceps nigricollis,Eared Grebe,PODICIPEDIFORMES,PODICIPEDIDAE,Eared Grebe,0.0157099104166666,0.0477268,44.0,winter,109.0,0.0,3.0,0.0,11.0,0.0,192.0,0.0,315.0,0.0,123.0,P3,0.0018908605389930748,192.0,0.0,315.0
whbpig1,93,Treron sieboldii,アオバト,Treron sieboldii,White-bellied Green-Pigeon,COLUMBIFORMES,COLUMBIDAE,White-bellied Green-Pigeon,0.01408510625,0.0389561,48.0,resident,22.0,11.0,5.0,2.0,19.0,5.0,133.0,32.0,179.0,50.0,46.0,P3,0.0018780527576251161,133.0,32.0,179.0
manduc,21,Aix galericulata,オシドリ,Aix galericulata,Mandarin Duck,ANSERIFORMES,ANATIDAE,Mandarin Duck,0.0154420416666666,0.0261886,48.0,resident,176.0,6.0,1.0,0.0,11.0,0.0,132.0,5.0,320.0,11.0,188.0,P3,0.0018535824918902938,132.0,5.0,320.0
asbfly,537,Muscicapa dauurica,コサメビタキ,Muscicapa dauurica,Asian Brown Flycatcher,PASSERIFORMES,MUSCICAPIDAE,Asian Brown Flycatcher,0.0173663604166666,0.0668723,40.0,summer,191.0,10.0,0.0,0.0,13.0,1.0,463.0,35.0,667.0,46.0,204.0,P3,0.0018502679535851417,463.0,35.0,667.0
kenplo1,136,Charadrius alexandrinus,シロチドリ,Anarhynchus alexandrinus,Kentish Plover,CHARADRIIFORMES,CHARADRIIDAE,Kentish Plover,0.0168455208333333,0.0373454,48.0,resident,380.0,2.0,2.0,0.0,14.0,0.0,203.0,6.0,599.0,8.0,396.0,P3,0.0018248420770734363,203.0,6.0,599.0
lessap2,138,Charadrius mongolus,メダイチドリ,Anarhynchus mongolus,Siberian Sand-Plover,CHARADRIIFORMES,CHARADRIIDAE,Siberian Sand-Plover,0.013329525,0.0532826,48.0,summer,107.0,8.0,0.0,0.0,5.0,0.0,48.0,9.0,160.0,17.0,112.0,P3,0.0018160486923794604,48.0,9.0,160.0
stseag,360,Haliaeetus pelagicus,オオワシ,Haliaeetus pelagicus,Steller's Sea-Eagle,ACCIPITRIFORMES,ACCIPITRIDAE,Steller's Sea-Eagle,0.0099667874999999,0.0550733,33.0,winter,12.0,4.0,0.0,0.0,2.0,0.0,29.0,12.0,43.0,16.0,14.0,P1,0.0018148314103050066,29.0,12.0,43.0
comgre,198,Tringa nebularia,アオアシシギ,Tringa nebularia,Common Greenshank,CHARADRIIFORMES,SCOLOPACIDAE,Common Greenshank,0.02046535,0.062411,48.0,resident,1487.0,4.0,31.0,2.0,245.0,5.0,1139.0,17.0,2902.0,28.0,1763.0,P3,0.0017790038258668518,1139.0,17.0,2902.0
eurspa1,353,Accipiter nisus,ハイタカ,Accipiter nisus,Eurasian Sparrowhawk,ACCIPITRIFORMES,ACCIPITRIDAE,Eurasian Sparrowhawk,0.01785335,0.0457306,48.0,resident,284.0,0.0,64.0,0.0,316.0,1.0,384.0,4.0,1048.0,5.0,664.0,P3,0.0017789000757887055,384.0,4.0,1048.0
lescuc1,80,Cuculus poliocephalus,ホトトギス,Cuculus poliocephalus,Lesser Cuckoo,CUCULIFORMES,CUCULIDAE,Lesser Cuckoo,0.01613534375,0.1098714,27.0,summer,110.0,17.0,4.0,1.0,109.0,71.0,339.0,114.0,562.0,203.0,223.0,P3,0.001765441554826985,339.0,114.0,562.0
reebun,637,Emberiza schoeniclus,オオジュリン,Emberiza schoeniclus,Reed Bunting,PASSERIFORMES,EMBERIZIDAE,Reed Bunting,0.0214304958333333,0.0587515,48.0,resident,2118.0,6.0,143.0,1.0,816.0,2.0,1479.0,13.0,4556.0,22.0,3077.0,P3,0.0017632194560435485,1479.0,13.0,4556.0
brambl,597,Fringilla montifringilla,アトリ,Fringilla montifringilla,Brambling,PASSERIFORMES,FRINGILLIDAE,Brambling,0.0195180333333333,0.0458071,35.0,winter,1172.0,2.0,62.0,0.0,346.0,1.0,708.0,7.0,2288.0,10.0,1580.0,P3,0.0017487503541723664,708.0,7.0,2288.0
ryumin1,412,Pericrocotus tegimae,リュウキュウサンショウクイ,Pericrocotus tegimae,Ryukyu Minivet,PASSERIFORMES,CAMPEPHAGIDAE,Ryukyu Minivet,0.0115795479166666,0.0263964,48.0,resident,22.0,15.0,0.0,0.0,4.0,4.0,78.0,44.0,104.0,63.0,26.0,P3,0.0017211184339750618,78.0,44.0,104.0
comsni,183,Gallinago gallinago,タシギ,Gallinago gallinago,Common Snipe,CHARADRIIFORMES,SCOLOPACIDAE,Common Snipe,0.0209141395833333,0.0431104,41.0,resident,2212.0,1.0,55.0,0.0,1097.0,4.0,1241.0,2.0,4605.0,7.0,3364.0,P3,0.0017185543618879833,1241.0,2.0,4605.0
brodip1,573,Cinclus pallasii,カワガラス,Cinclus pallasii,Brown Dipper,PASSERIFORMES,CINCLIDAE,Brown Dipper,0.0120944583333333,0.022245,48.0,resident,43.0,1.0,0.0,0.0,6.0,4.0,89.0,7.0,138.0,12.0,49.0,P3,0.0016964480586037958,89.0,7.0,138.0
livbul1,457,Pycnonotus sinensis,シロガシラ,Pycnonotus sinensis,Light-vented Bulbul,PASSERIFORMES,PYCNONOTIDAE,Light-vented Bulbul,0.0188369916666666,0.0368696,48.0,resident,382.0,7.0,130.0,0.0,634.0,14.0,1178.0,64.0,2324.0,85.0,1146.0,P3,0.0016843352831291257,1178.0,64.0,2324.0
harduc,48,Histrionicus histrionicus,シノリガモ,Histrionicus histrionicus,Harlequin Duck,ANSERIFORMES,ANATIDAE,Harlequin Duck,0.0119843875,0.0460998,48.0,winter,37.0,2.0,1.0,0.0,6.0,0.0,98.0,1.0,142.0,3.0,44.0,P3,0.0016714801755372901,98.0,1.0,142.0
dunlin,165,Calidris alpina,ハマシギ,Calidris alpina,Dunlin,CHARADRIIFORMES,SCOLOPACIDAE,Dunlin,0.0189660875,0.0422402,47.0,resident,1503.0,1.0,6.0,0.0,47.0,0.0,1237.0,2.0,2793.0,3.0,1556.0,P3,0.0016566247006178155,1237.0,2.0,2793.0
wiltit1,445,Poecile montanus,コガラ,Poecile montanus,Willow Tit,PASSERIFORMES,PARIDAE,Willow Tit,0.0194784854166666,0.0319382,48.0,resident,1467.0,18.0,209.0,0.0,1074.0,1.0,879.0,63.0,3629.0,82.0,2750.0,P3,0.0016470688614474709,879.0,63.0,3629.0
chebun2,622,Emberiza fucata,ホオアカ,Emberiza fucata,Chestnut-eared Bunting,PASSERIFORMES,EMBERIZIDAE,Chestnut-eared Bunting,0.0117503666666666,0.0385779,48.0,resident,64.0,14.0,0.0,0.0,1.0,1.0,74.0,28.0,139.0,43.0,65.0,P3,0.0016458130331562968,74.0,28.0,139.0
fotswi,69,Apus pacificus,アマツバメ,Apus pacificus,Pacific Swift,APODIFORMES,APODIDAE,Pacific Swift,0.0110544020833333,0.0342549,39.0,summer,56.0,5.0,1.0,0.0,8.0,0.0,52.0,13.0,117.0,18.0,65.0,P3,0.0016032914085360398,52.0,13.0,117.0
y00621,463,Cecropis daurica,コシアカツバメ,Cecropis daurica,Eastern Red-rumped Swallow,PASSERIFORMES,HIRUNDINIDAE,Eastern Red-rumped Swallow,0.015312425,0.0405608,40.0,summer,338.0,0.0,5.0,0.0,37.0,0.0,458.0,11.0,838.0,11.0,380.0,P3,0.0015762855666096912,458.0,11.0,838.0
perfal,407,Falco peregrinus,ハヤブサ,Falco peregrinus,Peregrine Falcon,FALCONIFORMES,FALCONIDAE,Peregrine Falcon,0.0182205666666666,0.0392062,48.0,resident,563.0,0.0,122.0,0.0,622.0,0.0,1848.0,4.0,3155.0,4.0,1307.0,P3,0.0015674497603145995,1848.0,4.0,3155.0
rorpar,19,Psittacula krameri,ホンセイインコ,Psittacula krameri,Rose-ringed Parakeet,PSITTACIFORMES,PSITTACULIDAE,Rose-ringed Parakeet,0.0194952166666666,0.0279078,48.0,resident,719.0,0.0,193.0,0.0,1554.0,6.0,3799.0,8.0,6265.0,14.0,2466.0,P3,0.0015455761722225803,3799.0,8.0,6265.0
japspa1,352,Accipiter gularis,ツミ,Tachyspiza gularis,Japanese Sparrowhawk,ACCIPITRIFORMES,ACCIPITRIDAE,Japanese Sparrowhawk,0.0086607208333333,0.025817,48.0,resident,21.0,6.0,1.0,1.0,4.0,4.0,28.0,20.0,54.0,31.0,26.0,P2,0.0014913365808654107,28.0,20.0,54.0
japthr1,523,Turdus cardis,クロツグミ,Turdus cardis,Japanese Thrush,PASSERIFORMES,TURDIDAE,Japanese Thrush,0.0116625708333333,0.0549558,43.0,summer,88.0,25.0,0.0,0.0,4.0,4.0,133.0,103.0,225.0,132.0,92.0,P3,0.0014901295062915005,133.0,103.0,225.0
whoswa,17,Cygnus cygnus,オオハクチョウ,Cygnus cygnus,Whooper Swan,ANSERIFORMES,ANATIDAE,Whooper Swan,0.0163947583333333,0.051231,48.0,winter,1098.0,12.0,30.0,0.0,1083.0,11.0,365.0,41.0,2576.0,64.0,2211.0,P3,0.0014467618652097977,365.0,41.0,2576.0
comgol,55,Bucephala clangula,ホオジロガモ,Bucephala clangula,Common Goldeneye,ANSERIFORMES,ANATIDAE,Common Goldeneye,0.0142789770833333,0.0543617,43.0,winter,352.0,0.0,8.0,0.0,58.0,0.0,646.0,1.0,1064.0,1.0,418.0,P3,0.0014196648274250314,646.0,1.0,1064.0
categr2,332,Bubulcus ibis,アマサギ,Ardea coromanda,Eastern Cattle-Egret,PELECANIFORMES,ARDEIDAE,Eastern Cattle-Egret,0.0126751749999999,0.0310869,48.0,resident,351.0,0.0,2.0,0.0,44.0,0.0,151.0,0.0,548.0,0.0,397.0,P3,0.0013923733124517083,151.0,0.0,548.0
winwre4,503,Troglodytes troglodytes,ミソサザイ,Troglodytes troglodytes,Eurasian Wren,PASSERIFORMES,TROGLODYTIDAE,Eurasian Wren,0.0207088083333333,0.0431229,48.0,resident,5505.0,33.0,837.0,1.0,46237.0,14.0,5444.0,118.0,58023.0,166.0,52579.0,P3,0.0013086641736645653,5444.0,118.0,58023.0
olbpip,591,Anthus hodgsoni,ビンズイ,Anthus hodgsoni,Olive-backed Pipit,PASSERIFORMES,MOTACILLIDAE,Olive-backed Pipit,0.01382210625,0.033366,48.0,resident,939.0,12.0,3.0,0.0,45.0,4.0,530.0,41.0,1517.0,57.0,987.0,P3,0.0013078085894548449,530.0,41.0,1517.0
reccra1,114,Grus japonensis,タンチョウ,Grus japonensis,Red-crowned Crane,GRUIFORMES,GRUIDAE,Red-crowned Crane,0.0088839999999999,0.0249039,48.0,resident,51.0,37.0,0.0,0.0,5.0,5.0,62.0,50.0,118.0,92.0,56.0,P3,0.0012862517332543897,62.0,50.0,118.0
pagplo,130,Pluvialis fulva,ムナグロ,Pluvialis fulva,Pacific Golden-Plover,CHARADRIIFORMES,CHARADRIIDAE,Pacific Golden-Plover,0.0120525729166666,0.0406755,48.0,resident,201.0,2.0,3.0,0.0,22.0,0.0,480.0,4.0,706.0,6.0,226.0,P3,0.0012730328542849931,480.0,4.0,706.0
bkwsti,124,Himantopus himantopus,セイタカシギ,Himantopus himantopus,Black-winged Stilt,CHARADRIIFORMES,RECURVIROSTRIDAE,Black-winged Stilt,0.0148311395833333,0.0472235,48.0,resident,1007.0,4.0,41.0,0.0,606.0,1.0,1782.0,9.0,3436.0,14.0,1654.0,P3,0.0012625089699875203,1782.0,9.0,3436.0
whimbr,144,Numenius phaeopus,チュウシャクシギ,Numenius phaeopus,Whimbrel,CHARADRIIFORMES,SCOLOPACIDAE,Whimbrel,0.0133348270833333,0.0778023,48.0,summer,1535.0,4.0,25.0,0.0,163.0,0.0,0.0,0.0,1723.0,4.0,1723.0,P3,0.0012401743875769793,0.0,0.0,1723.0
asistu1,466,Urosphena squameiceps,ヤブサメ,Urosphena squameiceps,Asian Stubtail,PASSERIFORMES,CETTIIDAE,Asian Stubtail,0.0109076875,0.0468246,48.0,summer,124.0,21.0,7.0,6.0,39.0,32.0,329.0,124.0,499.0,183.0,170.0,P3,0.0012161994364955095,329.0,124.0,499.0
whwsco1,51,Melanitta stejnegeri,ビロードキンクロ,Melanitta stejnegeri,Stejneger's Scoter,ANSERIFORMES,ANATIDAE,Stejneger's Scoter,0.0034142187499999,0.0156539,46.0,winter,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,P1,0.001216169257108932,1.0,0.0,5.0
reblei,25,Leiothrix lutea,ソウシチョウ,Leiothrix lutea,Red-billed Leiothrix,PASSERIFORMES,LEIOTHRICHIDAE,Red-billed Leiothrix,0.01236008125,0.0224588,48.0,resident,237.0,10.0,22.0,1.0,162.0,8.0,883.0,59.0,1304.0,78.0,421.0,P3,0.0011941023933398672,883.0,59.0,1304.0
gysfly1,533,Muscicapa griseisticta,エゾビタキ,Muscicapa griseisticta,Gray-streaked Flycatcher,PASSERIFORMES,MUSCICAPIDAE,Gray-streaked Flycatcher,0.0068505270833333,0.0769608,22.0,passage,13.0,0.0,0.0,0.0,1.0,0.0,38.0,4.0,52.0,4.0,14.0,P2,0.0011903841874854968,38.0,4.0,52.0
bkbplo,131,Pluvialis squatarola,ダイゼン,Pluvialis squatarola,Black-bellied Plover,CHARADRIIFORMES,CHARADRIIDAE,Black-bellied Plover,0.0132521437499999,0.0361148,48.0,resident,851.0,0.0,15.0,0.0,80.0,0.0,1507.0,3.0,2453.0,3.0,946.0,P3,0.0011767646538018268,1507.0,3.0,2453.0
ashmin1,411,Pericrocotus divaricatus,サンショウクイ,Pericrocotus divaricatus,Ashy Minivet,PASSERIFORMES,CAMPEPHAGIDAE,Ashy Minivet,0.0095876458333333,0.0556568,35.0,summer,79.0,9.0,2.0,1.0,16.0,5.0,210.0,39.0,307.0,54.0,97.0,P3,0.0011591233377926842,210.0,39.0,307.0
oristo1,306,Ciconia boyciana,コウノトリ,Ciconia boyciana,Oriental Stork,CICONIIFORMES,CICONIIDAE,Oriental Stork,0.0038411416666666,0.0080314,48.0,resident,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,2.0,4.0,P1,0.001156298859261384,4.0,2.0,8.0
tersan,184,Xenus cinereus,ソリハシシギ,Xenus cinereus,Terek Sandpiper,CHARADRIIFORMES,SCOLOPACIDAE,Terek Sandpiper,0.0093575416666666,0.0598745,39.0,summer,167.0,1.0,4.0,1.0,27.0,2.0,73.0,4.0,271.0,8.0,198.0,P3,0.00115628598556993,73.0,4.0,271.0
blksco2,52,Melanitta americana,クロガモ,Melanitta americana,Black Scoter,ANSERIFORMES,ANATIDAE,Black Scoter,0.0099786166666666,0.0466771,48.0,winter,85.0,2.0,2.0,0.0,16.0,1.0,292.0,5.0,395.0,8.0,103.0,P3,0.0011558695955221855,292.0,5.0,395.0
maspet2,279,Hydrobates matsudairae,クロウミツバメ,Hydrobates matsudairae,Matsudaira's Storm-Petrel,PROCELLARIIFORMES,HYDROBATIDAE,Matsudaira's Storm-Petrel,0.0011554604166666,0.0201198,23.0,summer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,0.0011554604166666,0.0,0.0,0.0
grybun,634,Emberiza variabilis,クロジ,Emberiza variabilis,Gray Bunting,PASSERIFORMES,EMBERIZIDAE,Gray Bunting,0.0068895520833333,0.0157962,48.0,resident,16.0,8.0,0.0,0.0,2.0,0.0,44.0,43.0,62.0,51.0,18.0,P2,0.00114825868055555,44.0,43.0,62.0
litter1,233,Sternula albifrons,コアジサシ,Sternula albifrons,Little Tern,CHARADRIIFORMES,LARIDAE,Little Tern,0.0112059020833333,0.0506098,35.0,summer,471.0,5.0,5.0,0.0,21.0,0.0,402.0,10.0,899.0,15.0,497.0,P3,0.0011416672936361892,402.0,10.0,899.0
oricuc2,82,Cuculus optatus,ツツドリ,Cuculus optatus,Oriental Cuckoo,CUCULIFORMES,CUCULIDAE,Oriental Cuckoo,0.0106651124999999,0.0646844,32.0,summer,160.0,28.0,46.0,5.0,225.0,31.0,280.0,73.0,711.0,137.0,431.0,P3,0.0011252779613255017,280.0,73.0,711.0
jawpig1,86,Columba janthina,カラスバト,Columba janthina,Black Wood-Pigeon,COLUMBIFORMES,COLUMBIDAE,Black Wood-Pigeon,0.0065014145833333,0.0281789,48.0,resident,22.0,22.0,1.0,1.0,2.0,2.0,39.0,38.0,64.0,63.0,25.0,P2,0.0010756106327532715,39.0,38.0,64.0
houswi1,70,Apus nipalensis,ヒメアマツバメ,Apus nipalensis,House Swift,APODIFORMES,APODIDAE,House Swift,0.0088245479166666,0.0178105,48.0,resident,83.0,1.0,3.0,0.0,33.0,2.0,192.0,0.0,311.0,3.0,119.0,P3,0.001064478631424555,192.0,0.0,311.0
japfly1,419,Terpsiphone atrocaudata,サンコウチョウ,Terpsiphone atrocaudata,Black Paradise-Flycatcher,PASSERIFORMES,MONARCHIDAE,Black Paradise-Flycatcher,0.0078318333333333,0.0352982,29.0,summer,51.0,19.0,0.0,0.0,13.0,13.0,129.0,30.0,193.0,62.0,64.0,P3,0.0010295114068042924,129.0,30.0,193.0
mewgul,222,Larus canus,カモメ,Larus canus,Common Gull,CHARADRIIFORMES,LARIDAE,Common Gull,0.0105083145833333,0.0391348,47.0,winter,735.0,0.0,27.0,0.0,219.0,0.0,318.0,2.0,1299.0,2.0,981.0,P3,0.0010157470232175958,318.0,2.0,1299.0
rudtur,152,Arenaria interpres,キョウジョシギ,Arenaria interpres,Ruddy Turnstone,CHARADRIIFORMES,SCOLOPACIDAE,Ruddy Turnstone,0.0103638145833333,0.0571468,48.0,summer,559.0,2.0,7.0,0.0,41.0,2.0,602.0,3.0,1209.0,7.0,607.0,P3,0.001011895297215228,602.0,3.0,1209.0
comcuc,83,Cuculus canorus,カッコウ,Cuculus canorus,Common Cuckoo,CUCULIFORMES,CUCULIDAE,Common Cuckoo,0.0130185770833333,0.0987141,29.0,summer,2373.0,5.0,670.0,13.0,5007.0,51.0,2275.0,97.0,10325.0,166.0,8050.0,P3,0.0009763346823161705,2275.0,97.0,10325.0
lotsti,161,Calidris subminuta,ヒバリシギ,Calidris subminuta,Long-toed Stint,CHARADRIIFORMES,SCOLOPACIDAE,Long-toed Stint,0.0058582333333333,0.0299715,44.0,resident,30.0,6.0,0.0,0.0,0.0,0.0,33.0,2.0,63.0,8.0,30.0,P2,0.000972745855983742,33.0,2.0,63.0
russpa2,574,Passer cinnamomeus,ニュウナイスズメ,Passer cinnamomeus,Russet Sparrow,PASSERIFORMES,PASSERIDAE,Russet Sparrow,0.0085382833333333,0.0270424,48.0,resident,110.0,10.0,1.0,0.0,9.0,2.0,321.0,23.0,441.0,35.0,120.0,P3,0.0009712348003981435,321.0,23.0,441.0
glagul,224,Larus hyperboreus,シロカモメ,Larus hyperboreus,Glaucous Gull,CHARADRIIFORMES,LARIDAE,Glaucous Gull,0.0072663375,0.0334424,43.0,winter,68.0,4.0,0.0,0.0,2.0,0.0,115.0,0.0,185.0,4.0,70.0,P3,0.0009628248465141762,115.0,0.0,185.0
saugul2,214,Saundersilarus saundersi,ズグロカモメ,Saundersilarus saundersi,Saunders's Gull,CHARADRIIFORMES,LARIDAE,Saunders's Gull,0.0048364770833333,0.0154445,44.0,winter,0.0,0.0,0.0,0.0,6.0,6.0,30.0,17.0,36.0,23.0,6.0,P1,0.0009215975393988817,30.0,17.0,36.0
woosan,196,Tringa glareola,タカブシギ,Tringa glareola,Wood Sandpiper,CHARADRIIFORMES,SCOLOPACIDAE,Wood Sandpiper,0.0103602291666666,0.0444814,46.0,resident,1171.0,3.0,21.0,0.0,159.0,0.0,1198.0,6.0,2549.0,9.0,1351.0,P3,0.0009154695648517757,1198.0,6.0,2549.0
sander,164,Calidris alba,ミユビシギ,Calidris alba,Sanderling,CHARADRIIFORMES,SCOLOPACIDAE,Sanderling,0.0089233208333333,0.0297947,45.0,resident,347.0,0.0,3.0,0.0,22.0,1.0,516.0,1.0,888.0,2.0,372.0,P3,0.0009107602676196481,516.0,1.0,888.0
bncrai1,96,Rallus indicus,クイナ,Rallus indicus,Brown-cheeked Rail,GRUIFORMES,RALLIDAE,Brown-cheeked Rail,0.0062117916666666,0.0160522,48.0,winter,40.0,7.0,0.0,0.0,7.0,4.0,67.0,16.0,114.0,27.0,47.0,P3,0.0009057755731723267,67.0,16.0,114.0
shtalb,276,Phoebastria albatrus,アホウドリ,Phoebastria albatrus,Short-tailed Albatross,PROCELLARIIFORMES,DIOMEDEIDAE,Short-tailed Albatross,0.00209250625,0.0141635,41.0,passage,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,P1,0.000901193389497063,3.0,0.0,3.0
grekno,153,Calidris tenuirostris,オバシギ,Calidris tenuirostris,Great Knot,CHARADRIIFORMES,SCOLOPACIDAE,Great Knot,0.00434508125,0.0264208,34.0,summer,5.0,0.0,0.0,0.0,1.0,1.0,21.0,0.0,27.0,1.0,6.0,P1,0.000894421212095725,21.0,0.0,27.0
