ebird_species_code,japanese_name,scientific_name,ebird_common_name,residence_status,priority_tier,frequency_annual_mean,frequency_max,n_periods_detected,recordings_total,recordings_japan,recordings_downloadable,ml_available,ml_japan_available,recordings_with_ml,priority_score
asrfin1,ハギマシコ,Leucosticte arctoa,Asian Rosy-Finch,winter,P1,0.0022360583333333,0.0106753,37.0,35.0,7.0,14.0,21.0,2.0,35.0,0.0004292308955266625
amawoo1,アマミヤマシギ,Scolopax mira,Amami Woodcock,resident,P1,0.0011264958333333,0.004504,45.0,6.0,6.0,3.0,3.0,3.0,6.0,0.0003754986111111
solpet1,ハジロミズナギドリ,Pterodroma solandri,Providence Petrel,resident,P1,0.0007299249999999,0.0029042,31.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0003143615866516784
trspet,オーストンウミツバメ,Hydrobates tristrami,Tristram's Storm-Petrel,passage,P1,0.0011963354166666,0.0071519,38.0,17.0,0.0,1.0,16.0,0.0,17.0,0.00028162802045950873
janher1,ミゾゴイ,Gorsachius goisagi,Japanese Night Heron,resident,P1,0.0007357895833333,0.0039469,40.0,9.0,1.0,6.0,3.0,0.0,9.0,0.00021269088811275144
palros2,オオマシコ,Carpodacus roseus,Pallas's Rosefinch,winter,P1,0.0008411145833333,0.0030935,30.0,33.0,4.0,11.0,22.0,3.0,33.0,0.0001639828764672598
refcor,チシマウガラス,Urile urile,Red-faced Cormorant,resident,P1,0.000763175,0.0027039,38.0,26.0,0.0,9.0,17.0,0.0,26.0,0.00015875154058177013
ftspet,ハイイロウミツバメ,Hydrobates furcatus,Fork-tailed Storm-Petrel,resident,P1,0.0005865749999999,0.0020268,37.0,12.0,0.0,3.0,9.0,0.0,12.0,0.00015406365101441554
solsni1,アオシギ,Gallinago solitaria,Solitary Snipe,winter,P1,0.00060086875,0.0041269,24.0,16.0,1.0,11.0,5.0,0.0,16.0,0.00014409581702120995
bonhon1,メグロ,Apalopteron familiare,Bonin White-eye,resident,P1,0.00052938125,0.0029554,34.0,15.0,15.0,2.0,13.0,13.0,15.0,0.00012951340979972415
chiegr,カラシラサギ,Egretta eulophotes,Chinese Egret,resident,P1,0.0004927708333333,0.0024321,26.0,13.0,0.0,0.0,13.0,0.0,13.0,0.00012612864918387824
tufpuf,エトピリカ,Fratercula cirrhata,Tufted Puffin,passage,P1,0.00038728125,0.002213,24.0,7.0,0.0,0.0,7.0,0.0,7.0,0.000122173631812673
creauk,エトロフウミスズメ,Aethia cristatella,Crested Auklet,resident,P1,0.0005452145833333,0.0031474,26.0,28.0,0.0,4.0,24.0,0.0,28.0,0.00011111203168484057
vartit2,オリイヤマガラ,Sittiparus olivaceus,Iriomote Tit,resident,P1,0.0004230041666666,0.0015,36.0,13.0,13.0,2.0,11.0,11.0,13.0,0.00010827131098630493
swspet,ヒメクロウミツバメ,Hydrobates monorhis,Swinhoe's Storm-Petrel,passage,P1,0.0003794166666666,0.0021494,19.0,11.0,1.0,8.0,3.0,0.0,11.0,0.00010253285975894755
sopsku1,オオトウゾクカモメ,Stercorarius maccormicki,South Polar Skua,resident,P1,0.0004337333333333,0.0024584,26.0,47.0,0.0,17.0,30.0,0.0,47.0,7.724946531082047e-05
lesfri,コグンカンドリ,Fregata ariel,Lesser Frigatebird,passage,P1,0.0002048208333333,0.0015,17.0,6.0,0.0,0.0,6.0,0.0,6.0,6.82736111111e-05
asidow1,シベリアオオハシシギ,Limnodromus semipalmatus,Asian Dowitcher,passage,P1,0.0002143916666666,0.0015,13.0,20.0,0.0,10.0,10.0,0.0,20.0,4.8076007213698075e-05
norgre1,カラフトアオアシシギ,Tringa guttifer,Nordmann's Greenshank,passage,P1,0.0001745208333333,0.0026103,12.0,16.0,2.0,9.0,7.0,0.0,16.0,4.1852271509184444e-05
piehar1,マダラチュウヒ,Circus melanoleucos,Pied Harrier,resident,P1,0.0001097374999999,0.0015,16.0,5.0,0.0,1.0,4.0,0.0,5.0,3.9089286195230964e-05
spbsan1,ヘラシギ,Calidris pygmaea,Spoon-billed Sandpiper,passage,P1,0.0001932833333333,0.0015,12.0,34.0,0.0,11.0,23.0,0.0,34.0,3.7386100045818375e-05
